Epoch,Train Loss,Train Acc,Valid Loss,Valid Acc,Test Loss,Test Acc
1,0.7771145438830058,0.624,1.0647158385933753,0.5009658184261359,1.1026118076862812,0.48030570252792476
2,0.638644931825002,0.7200666666666666,0.6751748094072548,0.7248677248677249,0.6611482363068768,0.7362895775594188
3,0.5849391617774964,0.7562666666666666,1.3926347849440532,0.35113798605862095,1.3592259923326706,0.35214579659024103
4,0.6553105948766073,0.6983333333333334,1.352345197994903,0.5014697236919459,1.3141172905808043,0.5087763500461913
5,0.5912678620815277,0.7501333333333333,0.5601297409328514,0.7484672881498279,0.5358967774384086,0.7788695725203661
6,0.5038747905095419,0.7988666666666666,0.9811148802742226,0.5567313345091123,0.9752448985265979,0.5645418661291677
7,0.49583314557075503,0.8042666666666667,0.5054684666955993,0.7928949357520786,0.5015594223148929,0.7951625094482238
8,0.4582447601477305,0.8171333333333334,0.4938365241710231,0.7933988410178886,0.48839642437090597,0.7977660199882423
9,0.43669224098523457,0.8301333333333333,0.5114156757960472,0.7841605778113715,0.4996854710843415,0.7859242462417065
10,0.431636309782664,0.8338,0.5533142445133887,0.7741664567061393,0.4851915422750979,0.8072562358276644
11,0.4255886982123057,0.838,0.5709289185439368,0.7713109935332157,0.53366073270182,0.7982699252540523
12,0.4161123887459437,0.8394666666666667,0.4769489010879642,0.8045687410766775,0.46932541790849375,0.8097757621567145
13,0.426110555267334,0.8331333333333333,0.49128145758449615,0.807424204249601,0.45395089022141316,0.8324514991181657
14,0.40104480579694113,0.8459333333333333,0.4123413209130194,0.8346350886033426,0.39309323536335516,0.8457210044511632
15,0.37320287715593975,0.8558,0.58029159417255,0.7612328882170152,0.5847936768527157,0.7599731250524902
16,0.363883922513326,0.8607333333333334,0.3818171299800641,0.8415217939027463,0.3567648879514008,0.8674729150919627
17,0.3733682594299316,0.8568666666666667,0.43753199718196134,0.8196019148400101,0.3743597497468081,0.8556311413454271
18,0.34800853854815167,0.8663333333333333,0.3845616321568207,0.8556311413454271,0.3663157158773289,0.8636936255983875
19,0.3543238074302673,0.8647333333333334,0.41853155542485415,0.8343831359704376,0.3883273618269508,0.8542034097589654
20,0.34364317328135174,0.8683333333333333,0.8650543466867383,0.6484420928865373,0.8639759664883129,0.6528932560678592
