Epoch,Train Loss,Train Acc,Valid Loss,Valid Acc,Test Loss,Test Acc
1,0.006836572209272624,0.425,1.9102306460126817,0.3333333333333333,1.9569538551883854,0.3333333333333333
2,0.005275155193365826,0.598,3.60752507900859,0.3333333333333333,3.76732397576532,0.3333333333333333
3,0.004717276454982172,0.635,1.6112883938140894,0.4439405391786344,1.7276443334205145,0.4288233812043336
4,0.004941395488361491,0.603,2.1558107948827834,0.33341731754430165,2.24781153948673,0.3333333333333333
5,0.004632874158794153,0.634,0.9258412016877762,0.5709246661627614,0.958569568585086,0.5604266397917191
6,0.004455053711072014,0.65,3.2345477810589904,0.37146216511295876,3.1713663232577303,0.3702024019484337
7,0.004453248448647353,0.65,1.7940597882787017,0.36205593348450493,1.7484232468299485,0.3633996808599983
8,0.004410506735614409,0.657,1.1658054257936958,0.40413202317964225,1.1471397437426187,0.411522633744856
9,0.004519577862213599,0.639,1.0811649709151536,0.48248929201310153,1.118183137757773,0.4626690182245738
10,0.00413290640936205,0.702,2.6752695412478045,0.3728898966994205,2.5421296683595083,0.3708742756361804
