Epoch,Train Loss,Train Acc,Valid Loss,Valid Acc,Test Loss,Test Acc
0,0.6473466928482056,0.7697,0.41916371737480507,0.8415217939027463,0.3862983573453697,0.8659611992945326
1,0.31392807965278624,0.88475,0.30152299427881396,0.8813303099017384,0.26747751376559786,0.9017384731670446
2,0.24685338215827943,0.90825,0.27086045402691533,0.8933400520702108,0.23187706793018312,0.9146720416561687
3,0.21911593525409698,0.9193,0.2417315996922002,0.9033341731754431,0.21106701346362497,0.9231544469639708
4,0.2012627257823944,0.92375,0.22538606470106293,0.9102208784748468,0.19488425585430927,0.9299571680524061
5,0.1858948875427246,0.9286,0.20569197006360607,0.9194591416813639,0.18464919035513422,0.9340723943898547
6,0.17085458014011384,0.937,0.20112280305148053,0.9200470311581422,0.17343878044024957,0.9372637944066515
7,0.16233083577752114,0.94005,0.1879392648920601,0.9261778785588309,0.1654868280168713,0.9385235575711767
8,0.15285036239624022,0.9425,0.18256962238087845,0.9293692785756278,0.16011123875270203,0.940623162845385
9,0.14317801427841187,0.94695,0.17628862810832452,0.932644662803393,0.15136057941225728,0.9451583102376753
10,0.13373031218051912,0.95165,0.1652836030660202,0.9357520786092215,0.14979260745359751,0.9443184681279919
11,0.1294521037518978,0.9523,0.16022526334004122,0.9394473838918284,0.14389381417385255,0.9454102628705803
12,0.12070277745723725,0.95485,0.1591179830684962,0.939615352313765,0.14110847916880062,0.9480977576215671
13,0.11570506446361542,0.95735,0.15152545824197675,0.9427227681195935,0.13743141735390135,0.9475098681447888
14,0.11029600170850754,0.9594,0.14710022477416504,0.9431426891744352,0.13521526549135343,0.950281347106744
15,0.1041227704256773,0.963,0.14376307554854162,0.9456622155034854,0.1330877170014532,0.9501973628957756
16,0.10047345902919769,0.9651,0.1481288691829792,0.9449903418157386,0.1333575662186533,0.950533299739649
17,0.09770566101074218,0.9656,0.14315783113780575,0.9467540102460738,0.13044467204017662,0.9524649365919208
18,0.09211186503171921,0.96745,0.13525784937848284,0.9496094734189973,0.12609491899464823,0.9551524313429075
19,0.08636302115917206,0.96725,0.13747905504273364,0.9485176786764088,0.13101670381608255,0.9521289997480473
20,0.08575219535827637,0.9698,0.1392316178794252,0.9483497102544721,0.1279658128658217,0.9531368102796675
21,0.08103133887052535,0.9705,0.13374499021925704,0.9511211892164273,0.12878664133142845,0.9525489208028891
22,0.07901211366653442,0.97355,0.13037000408501345,0.9514571260603006,0.1231075598481597,0.9551524313429075
23,0.07458707451820373,0.974,0.13501639206782245,0.9513731418493323,0.1251279520596772,0.956244226085496
24,0.07016034497618676,0.9755,0.12488659958693532,0.9544805576551608,0.12105372997796315,0.9565801629293693
25,0.06933461701273919,0.976,0.1290777527495109,0.9538926681783825,0.12823642197751436,0.9549004787100025
26,0.06923283018171787,0.9755,0.12376381357054199,0.9558243050306542,0.1205984495851218,0.9594356261022927
27,0.06284376384019852,0.97935,0.12484862137914739,0.9543965734441925,0.12238014919631059,0.9576719576719577
28,0.06321349707841874,0.9774,0.12517103292851944,0.9549004787100025,0.12133075676166169,0.9573360208280843
29,0.055391376566886905,0.9808,0.12564939536823744,0.9553203997648442,0.11709163635857019,0.959267657680356
30,0.0517492762863636,0.98295,0.12526899344923384,0.955992273452591,0.11991761908771824,0.9594356261022927
31,0.0511250252187252,0.98295,0.12574475546767308,0.955992273452591,0.1161204123848031,0.9588477366255144
32,0.04958843128681183,0.9832,0.13118819495131112,0.9541446208112875,0.12130959910907177,0.9596875787351978
33,0.044904891747236254,0.985,0.12875491075630002,0.9560762576635593,0.12239373186093536,0.9580918787267994
34,0.049030204927921296,0.9837,0.1275616468270833,0.9556563366087175,0.11778749829586554,0.9594356261022927
35,0.04629820138514042,0.9845,0.12711597464917032,0.9557403208196859,0.12076188423029356,0.9586797682035777
36,0.044785950903594496,0.9853,0.12984563684734898,0.9557403208196859,0.12647621972532402,0.9581758629377677
37,0.03959676791727543,0.98625,0.11932727408984738,0.958763752414546,0.1172731746184541,0.9612832787435962
38,0.03897981812953949,0.9873,0.12453914162908626,0.9585957839926094,0.12528741903966553,0.9590996892584194
39,0.0395060261271894,0.98605,0.1268517866377758,0.9580918787267994,0.12490409319971017,0.958511799781641
40,0.03614430923908949,0.98795,0.1261576934158395,0.957252036617116,0.1237622513796797,0.9606114050558495
41,0.03370108836889267,0.98895,0.1256004094558764,0.9581758629377677,0.1255805569402229,0.9601074997900395
42,0.03374384754300117,0.9887,0.1313506933216579,0.9563282102964643,0.12750248110042509,0.9595196103132612
43,0.03405350484997034,0.9891,0.13972118324285926,0.9555723523977492,0.13698016282659178,0.9565801629293693
44,0.03693833558559418,0.98705,0.12657850699109324,0.9581758629377677,0.12191684334904113,0.9623750734861846
45,0.028825464954972266,0.98955,0.13228208566348043,0.9583438313597044,0.12498971332307775,0.9609473418997229
46,0.02909952712059021,0.99065,0.1364593700432912,0.9569160997732427,0.13220700218321,0.9598555471571345
47,0.028247946529090403,0.9909,0.13264361501015945,0.958511799781641,0.12744937471070952,0.9616192155874695
48,0.023708564116060735,0.99235,0.13382489128157227,0.959267657680356,0.132373770753184,0.9601074997900395
49,0.025586063968390225,0.99285,0.13251675144098005,0.9600235155790712,0.13096505785902005,0.9601914840010078
