Epoch,Train Loss,Train Acc,Valid Loss,Valid Acc,Test Loss,Test Acc
0,0.6073024963378906,0.7541,0.5133654573577031,0.7809691777945746,0.47093221709911853,0.8053245989753927
1,0.4960637201309204,0.7957,0.4857839253423916,0.7932308725959519,0.4424966993055186,0.8165784832451499
2,0.477067232131958,0.8018,0.4790508081022554,0.7968421936675905,0.42954687258453766,0.8208616780045351
3,0.4832054002761841,0.799,0.47888110298608627,0.7912992357436802,0.4392365699735168,0.8165784832451499
4,0.46233024702072145,0.8122,0.4607300692635018,0.8016292936927858,0.42280301841763834,0.8236331569664903
5,0.4634456826210022,0.8111,0.4602511460128135,0.8090199042579995,0.4132558676140669,0.8313597043755774
6,0.4682563610076904,0.8044,0.4485701007437344,0.8122113042747964,0.4086606829915488,0.8335432938607542
7,0.4509965027332306,0.8148,0.4385261563477052,0.8190980095742001,0.40171507761061337,0.8405979675820946
8,0.4373393510818481,0.8235,0.4434919897180626,0.8138909884941631,0.39471245440496067,0.8389182833627278
9,0.45110328192710875,0.8156,0.44556660392657427,0.8124632569077014,0.3995376531777138,0.836482741244646
10,0.44576678819656373,0.8197,0.45164920645576284,0.8101116990005879,0.3981578274704081,0.8352229780801209
11,0.45730338563919065,0.8128,0.46394663610135595,0.8000335936843873,0.41266510582114385,0.8260686990845721
12,0.44461675338745116,0.8163,0.44324727031178823,0.8148987990257831,0.3926267710177176,0.842697572856303
13,0.4538936682701111,0.8145,0.43998489210584996,0.8171663727219283,0.3931779096130962,0.8444612412866381
14,0.4325837193965912,0.8235,0.442437294584343,0.8127991937515747,0.39270950883984856,0.8390022675736961
15,0.43500962512493135,0.8216,0.4565621748162405,0.8096077937347779,0.3967848399932012,0.8348030570252792
16,0.4386988192558289,0.8197,0.4350000758500266,0.8176702779877383,0.38291419068752014,0.8461409255060048
17,0.436628538274765,0.8224,0.43926629207091594,0.8167464516670866,0.3858451039898032,0.8430335097001763
18,0.4287381856441498,0.8262,0.4394503293734629,0.8137230200722264,0.38561375032817224,0.8405139833711263
19,0.44461534185409546,0.8211,0.42676782959943416,0.8228772990677753,0.39001192879474583,0.8444612412866381
20,0.42871201910972595,0.8234,0.42484994876531906,0.8194339464180734,0.37935703345587346,0.847148736037625
